Assesment Name,cleaned_text,Duration,Remote Testing Support,URL,Adaptive/IRT,Job Type
Installation and Repair Technician Solution,Mid Professional Professional Individual Contributor Installation Repair technician solution design use entry level field technician position telecommunications industry solution focus position involve instal repair maintain telecommunications equipment customer interaction little specific sale component sample task include instal repair end user telecommunications equipment service interact customer instal repair telecommunication network infrastructure potential job title use solution Installer Service Technician Customer Installation Technician multiple configuration solution available,49,yes,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,yes,"Mid-Professional,Professional Individual Contributor"
Insurance Account Manager Solution,Middle Insurance Account Manager solution mid level insurance professional manage day day operation activity customer account sample task job include limit solicit sale new additional product service interact customer provide information response inquiry product service handle resolve complaint keep record customer interaction transaction resolve customer service billing complaint determine charge service request collect deposit payment arrange billing potential job title use solution Account Executive Account Manager Senior Account Manager multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,yes,Middle
Insurance Administrative Assistant Solution,entry Administrative Assistant solution entry level clerical position interact external internal customer sample task job include limit answer telephone manage file record sort mail handle information request greet customer collaborate co worker project potential job title use solution Receptionist Administrative Assistant multiple configuration solution available,24,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,yes,Entry
Insurance Agent Solution,Middle Insurance Agent solution mid level professional position insurance industry sell property casualty automotive type insurance sample task position include limit call policyholder deliver explain policy suggest addition change calculate premium customize insurance program suit individual customer ensure policy requirement fulfil confer client obtain provide information claim policy potential job title use solution Insurance Sales Professional Insurance Sales Agent Producer Insurance Agent multiple configuration solution available,46,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,yes,Middle
Insurance Director Solution,Manager Insurance Director solution senior level management position insurance company oversee sale function multiple brokerage office agency geographic territory sample task job include limit direct group sale manager agency manager have profit loss responsibility district region align work overall company goal potential job title use solution Regional Managers Associate Directors Managing Directors multiple configuration solution available,49,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,yes,Manager
Insurance Sales Manager Solution,Manager Sales Manager solution entry- mid level management position involve supervise employee work insurance organization substantial portion job performance base sale sample task job include limit planning prepare work schedule promote product customer train subordinate analyze sale statistic gather staff determine sale potential monitor preference customer build ongoing customer relationship make day day decision minimal guidance potential job title use solution Insurance Sales Manager Sales Manager Assistant Sales Manager Sales Supervisor multiple configuration solution available,51,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,yes,Manager
Manager - Short Form,Manager Manager solution assessment job candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem potential job title use solution Manager Store Manager Branch Manager,57,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,yes,Manager
Manager + 7.0 Solution,Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,53,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,yes,Manager
Manager + 7.1 (Americas),Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,yes,Manager
Manager + 7.1 (International),Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,yes,Manager
Manager 7.0 Solution,Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,35,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,no,Manager
Manager + 7.1 (Americas),Executive Director Line Manager Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,yes,"Executive, Director, Front Line Manager, Manager"
Manager 7.0 Solution,Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,35,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,no,Manager
Manager 7.1 (Americas),Executive Director Line Manager Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,40,yes ,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,no,"Executive, Director, Front Line Manager, Manager"
Manager 7.1 (International),Executive Director Line Manager Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,40,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,no,"Executive, Director, Front Line Manager, Manager"
Manager 8.0 JFA,Manager Manager Job Focused Assessment design candidate apply leadership position measure behavior underlie successful performance line manager role wide range industry relevant position supervise salaried employee JFA include Reskilling Potential Scale Management Potential Scale •the reskille potential scale measure tendency learn experience way support professional success •the Management potential scale measure potential managerial success industry type functional area,26,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,no,Manager
Manager 8.0+ JFA,Manager Manager + Job Focused Assessment design candidate apply leadership position include SHL new innovative mobile ability assessment Verify Interactive inductive Reasoning measure behavior underlie successful performance line manager role wide range industry relevant position supervise salaried employee JFA include Reskilling Potential Scale Management Potential Scale •the reskille potential scale measure tendency learn experience way support professional success •the Management potential scale measure potential managerial success industry type functional area,40,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,no,Manager
Manufacturing Production Team Member,entry Manufacturing Production Team Member solution design entry level position measure behavior experience underlie successful safe performance workplace production worker solution measure candidate error check ability general tendency behave safely efficiently workplace solution use variety assessment type include measure personality trait safety relate situational judgment error checking Manufacturing Production Team Member solution design selection job title Production Worker Material Handler Driver Forklift Operator Crewman Mechanic Receiver,35,yes,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,no,Entry
Manufacturing Skilled Maintenance Worker,entry Manufacturing Skilled Maintenance solution design entry level position measure behavior experience underlie successful safe performance workplace solution measure candidate mechanical comprehension ability general tendency behave safely efficiently workplace solution use variety assessment type include measure personality trait safety relate situational judgment mechanical comprehension Manufacturing Skilled Maintenance solution design selection job title Industrial Machinery Mechanic Automotive Service Technician Small Engine Mechanic Mobile Equipment Service Technician Diesel Service Technician,45,yes,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,no,Entry
Network Engineer/Analyst Solution,Mid Professional Professional Individual Contributor Network Engineer Analyst solution design use professional level telecommunications engineer network analyst solution focus position involve design monitoring complex telecommunications network place emphasis reasoning ability attention detail multitaske sample task include design network network element ensure proper network operation performance monitoring troubleshoot electronic datum communication network potential job title use solution Network Engineer Network Analyst Communications Engineer multiple configuration solution available,41,yes,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,yes,"Mid-Professional, Professional Individual Contributor"
Nurse Leader Solution,Executive Director Line Manager Manager Nurse Leader solution assessment job candidate apply entry level nurse leadership position tend supervise hourly employee sample task job include limit planning prepare work schedule assign nurse specific duty coach nurse attendance conduct schedule adherence work relate task develop nurse skill train subordinate prioritize multiple task priority make day day decision minimal guidance healthcare setting potential job title use solution Nurse Leader Nurse Manager multiple configuration version solution available,59,yes,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,yes,"Executive, Director, Front Line Manager, Manager"
Nurse Solution,Mid Professional Professional Individual Contributor Nurse solution professional level healthcare nursing position require licensing registration sample task job include limit assess health condition patient document patient medical information create nursing care plan educate patient healthcare issue potential job title use solution Registered Nurse Charge Nurse Licensed Practical Nurse Clinic Nurse multiple configuration solution available,66,yes,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,yes,"Mid-Professional, Professional Individual Contributor"
Nursing Assistant Solution,entry Nursing Assistant solution entry level position clinic hospital environment sample task job include limit turn position bedridden patient feed patient feed observe patient condition include measure record food intake potential job title use solution certify Nursing Assistant Nursing Aide Patient Care Technician Hospital Attendant multiple configuration solution available,41,yes,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,no,Entry
Personal Banker - Short Form,entry Personal Banker Loan Officer solution entry mid level financial institution position sample task job include limit acquire retain expand new exist customer relationship discover customer need make good recommendation complete sale proactively contact meet customer ask referral,30,yes,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,no,Entry
Phone Banker - Short Form,entry solution entry mid level financial institution position candidate ask answer multiple choice question assess learn potential dependability persistence planfulness sale focus customer focus work information,40,yes,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,no,Entry
Prep/Line Cook Solution,entry Prep Line Cook solution entry level food preparation position hospitality industry sample task include prepare ingredient final food item consumption solution focus work ethic perform quality work direct customer contact sale requirement potential job title use solution Cook Line Cook Food Preparer Prep Cook Chef multiple configuration solution available,24,yes,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,yes,Entry
Professional + 7.0 Solution,Mid Professional Professional Individual Contributor Professional + solution design non managerial professional individual contributor position include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit gather requirement analyze datum manage project produce product service,51,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,yes,"Mid-Professional, Professional Individual Contributor"
Professional + 7.1 (Americas),  Mid Professional Professional Individual Contributor Professional + solution design non managerial professional individual contributor position include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit gather requirement analyze datum manage project produce product service,56,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,yes," Mid-Professional, Professional Individual Contributor"
Professional + 7.1 (International),Mid Professional Professional Individual Contributor Professional + solution design non managerial professional individual contributor position include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit gather requirement analyze datum manage project produce product service,56,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,yes,"Mid-Professional, Professional Individual Contributor"
Professional 7.0 Solution,Mid Professional Professional Individual Contributor Professional solution design non managerial professional individual contributor position sample task job include limit gather requirement analyze datum manage project produce product service,33,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,no,"Mid-Professional, Professional Individual Contributor"
Professional 7.1 (International),Mid Professional Professional Individual Contributor Professional solution design non managerial professional individual contributor position sample task job include limit gather requirement analyze datum manage project produce product service,33,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,no,"Mid-Professional, Professional Individual Contributor"
Professional 8.0 JFA,Mid Professional Professional Individual Contributor Professional Job Focused Assessment design non managerial professional individual contributor position measure behavior underlie successful performance professional individual contributor set wide range industry,16,yes,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,no,"Mid-Professional, Professional Individual Contributor"
Professional/Individual Contributor - Short Form,Mid Professional Professional Individual Contributor Professional Individual Contributor solution mid upper level non managerial position sample task job include limit meet client determine need analyze data set work co worker complete project potential job title use solution Engineer Human Resource Consultant Analyst,44,yes,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,yes,"Mid-Professional, Professional Individual Contributor"
Project Manager - Short Form,Mid Professional Professional Individual Contributor Project Manager solution design position lead medium large scale project multiple team member involve sample task job include limit guiding supervise influence project team member scope project resource requirement manage project timeline scope budget potential job title ue solution Project Manager Implementation Manager Construction Project Manager Project Manager,49,yes,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,yes,"Mid-Professional, Professional Individual Contributor"
Proof Operator - Processing Specialist -Short Form,entry Proof Operator Processing Specialist solution entry level position perform basic daily bank operation procedure processing deposit reconcile account handle money transfer potential job title include Proof Operator Bank Operations Processor Operations Specialist,30,yes,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,no,Entry
Reservation Agent Solution,entry Reservation Agent solution design entry level position hospitality industry sample task indlude making update cancel reservation look information enter information computer provide information hotel service offer potential title use solution Reservation Agent Customer Service Representative Reservationist multiple configuration solution available,43,yes,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,yes,Entry
Restaurant Manager Solution,Executive Director Line Manager Manager Restaurant Manager solution design management level position hospitality industry sample task include purchase food supply account set policy procedure manage staff solution focus manage staff solve problem make good decision maintain focus customer potential job title use solution Restaurant Manager General Manager multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,yes,"Executive, Director, Front Line Manager, Manager"
Restaurant Supervisor Solution,Executive Director Line Manager Manager Restaurant Supervisor solution design management level position hospitality industry sample task include serve staff resource set schedule monitor daily operation solution focus solve problem make good decision maintain focus customer potential job title use solution Restaurant Supervisor Restaurant Staff Supervisor multiple configuration solution available,53,yes,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,yes,"Executive, Director, Front Line Manager, Manager"
Retail Consultant Solution,entry Retail consultant solution entry mid level retail position employee proactively sell product customer develop relationship repeat customer pay and/or performance heavily base sale revenue sample task job include limit promote product customer persuade customer buy product build ongoing customer relationship potential job title use solution Sales Consultant Sales Representative Retail Sales Associate multiple configuration version solution available,45,yes,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,yes,Entry
Retail Manager w/ Sales Solution,Executive Director Line Manager Manager Retail Manager sale solution assessment job candidate apply entry level leadership position tend supervise hourly employee significant portion job performance base sale customer service sample task job include limit planning prepare work schedule assign employee specific duty promote product customer training subordinate build ongoing customer relationship make day day decision minimal guidance potential job title use solution Assistant Manager Sales Supervisor Retail Manager Floor Leader multiple configuration version solution available,43,yes,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,yes,"Executive, Director, Front Line Manager, Manager"
Retail Sales Associate Solution,entry Retail Sales Associate solution entry level retail position employee proactively sell product customer pay and/or performance base sale revenue sample task job include limit promote product customer persuade customer buy product complete transaction customer potential job title use solution Sales Representative Retail Sales Associate Sales Clerk multiple configuration version solution available,29,yes,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,yes,Entry
Sales Director Solution,Executive Director Line Manager Manager Sales Director solution mid- senior level sale management position oversee sale function multiple office geographic territory sample task job include limit direct group sale supervisor sale manager have profit loss responsibility district region align work overall company goal potential job title use solution Regional Sales Director District Sales Manager Sales Director multiple configuration solution available,59,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,yes,"Executive, Director, Front Line Manager, Manager"
Sales Engineer Solution,Mid Professional Professional Individual Contributor Sales Engineer solution design use professional level telecommunication engineer distinct sale responsibility solution focus position involve design telecommunications network specific customer application place emphasis reasoning ability sale ability sample task include design network solution meet customer need communicate technical information level client participate sale process assist own sale process ensure proper implementation contract equipment service potential job title use solution Sales Engineer Senior Technical Consultant Technical Sales Lead multiple configuration solution available,61,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,yes,"Mid-Professional, Professional Individual Contributor"
Sales Manager Solution,Manager Sales Manager solution assessment apply entry mid level sale leadership position generally manage employee significant portion job performance base sale sample task job include limit plan prepare sale plan promote product customer training subordinate build ongoing customer relationship make day day decision minimal guidance potential job title use solution Sales Manager Manager Direct sale,63,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,yes,Manager
Sales Professional 7.0 Solution,Mid Professional Professional Individual Contributor Sales Professional solution design entry mid level sale position employee proactively sell product customer develop relationship repeat customer pay and/or performance heavily base sale revenue sample task job include limit promote product customer persuade customer buy product build ongoing customer relationship,21,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,no,"Mid-Professional, Professional Individual Contributor"
Sales Professional 7.1 (Americas),Mid Professional Professional Individual Contributor Sales Professional solution design entry mid level sale position employee proactively sell product customer develop relationship repeat customer pay and/or performance heavily base sale revenue sample task job include limit promote product customer persuade customer buy product build ongoing customer relationship,21,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,no,"Mid-Professional, Professional Individual Contributor"
Sales Professional Solution,Middle Sales Professional solution entry mid level sale position employee proactively sell product customer develop relationship repeat customer pay and/or performance heavily base sale revenue sample task job include limit promote product customer persuade customer buy product build ongoing customer relationship potential job title use solution Sales Consultant Sales Representative Account Representative multiple configuration solution available,47,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,yes,Middle
Sales Representative Solution,entry Sales Representative solution entry level sale position employee proactively sell product customer pay and/or performance base sale revenue sample task job include limit promote product customer persuade customer buy product complete transaction customer potential job title use solution Sales Representative Sales Associate Sales Clerk multiple configuration solution available,29,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,yes,Entry
Sales Supervisor Solution,Line Manager Manager Supervisor Sales Supervisor solution assessment job candidate apply entry level sale leadership position generally supervise employee significant portion job performance base sale sample task job include limit planning prepare work schedule promote product customer training subordinate build ongoing customer relationship make day day decision minimal guidance potential job title use solution Assistant Sales Manager Sales Supervisor multiple configuration solution available,38,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,yes,"Front Line Manager, Manager, Supervisor"
Sales Support Specialist Solution,entry Sales Support Specialist solution entry mid level sale support position employee work primarily guidance account manager operation manager support client account sample task job include limit implement customer order assist coordinate activity utilize process meet customer requirement potential job title use solution Implementation Specialist Project Assistant Sales Support Assistant multiple configuration solution available,43,yes,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,yes,Entry
Senior Insurance Agent Solution,Mid Professional Professional Individual Contributor Senior Insurance Agent solution senior level professional position insurance industry sell portfolio insurance product include property casualty automotive health life sample task position include limit call policyholder deliver explain policy suggest addition change calculate premium customize insurance program suit individual customer ensure policy requirement fulfil confer client obtain provide information claim policy potential job title use solution Insurance Senior Sales Professional Senior Producer Insurance Sales Agent Insurance Agent multiple configuration solution available,44,yes,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,no,"Mid-Professional, Professional Individual Contributor"
Senior Sales Professional Solution,Mid Professional Professional Individual Contributor Senior Sales Professional solution high level sale position employee proactively sell product customer develop relationship new exist customer pay and/or performance heavily base sale revenue sample task job include limit promote product customer consult persuade customer buy product build ongoing customer relationship potential job title use solution Senior Sales Representative Business Development Manager Senior Sales Consultant multiple configuration solution available,42,yes,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,yes,"Mid-Professional, Professional Individual Contributor"
Server Solution,entry Server solution design entry level position hospitality industry sample task include greeting customer take customer food drink order deliver food item guest solution focus work ethic customer focus sale potential job title use solution Server Waiter Waitress multiple configuration solution available,40,yes,http://shl.com/solutions/products/product-catalog/view/server-solution/,yes,Entry
Service Associate Solution,entry Service Associate design entry level position primarily task focus include customer service component solution cover wide variety support position hospitality industry sample task include clean hotel room serve food buffet line parking car and/or deliver food hotel room potential job title use solution Housekeeper Buffet Server Room Service Attendant Valet multiple configuration solution available,38,yes,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,yes,Entry
Service Supervisor Solution,Line Manager Manager Supervisor Service Supervisor solution design entry level leadership position hospitality industry oversee hourly salaried employee customer face position e.g. Desk Associate Concierge Guest Service Associate individual role perform hte duty employee supervise sample task include assist challenging guest coach employee customer service skill take corrective action employee perform poorly monitor employee assess satisfactory completion task potential job title use solution Desk Manager Guest Services Supervisor Desk Supervisor multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,yes,"Front Line Manager, Manager, Supervisor"
Stock Clerk Solution,entry Stock Clerk solution entry level retail position employee work primarily stockroom handle incoming outgoing shipment keep sale floor fully stock sample task job include limit unload product shipment maintain stockroom organization replenish supply product sale floor process outgoing shipment potential job title use solution Stock Clerk Inventory Associate Warehouse Associate multiple configuration solution available,25,yes,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,no,Entry
Store Manager 7.0 Solution,Manager Store Manager solution design candidate apply entry level leadership position tend supervise hourly employee retail restaurant setting sample task job include limit planning prepare work schedule assign employee specific duty coach employee attendance conduct schedule adherence work task develop employee skill train subordinate prioritize multiple task priority make day day decision minimal guidance,34,yes,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,no,Manager
Store Manager 7.1 (Americas),Manager Store Manager solution design candidate apply entry level leadership position tend supervise hourly employee retail restaurant setting sample task job include limit planning prepare work schedule assign employee specific duty coach employee attendance conduct schedule adherence work task develop employee skill train subordinate prioritize multiple task priority make day day decision minimal guidance,34,yes,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,no,Manager
